sasdate_t,sasdate_tp1,hard_label_t,pca_p_components,typical_k_r,p_R0_t,ptp1_R0,p_R1_t,ptp1_R1,p_R2_t,ptp1_R2,p_R3_t,ptp1_R3,p_R4_t,ptp1_R4,p_R5_t,ptp1_R5
2015-08-01,2015-09-01,0,31,5,0.1801038688450095,0.24080073839954058,0.1522133311699532,0.07548182888794587,0.15581668850787717,0.10584162391767467,0.16780342542806143,0.07461712610331153,0.1713804251252095,0.05756075364129632,0.17268226092388897,0.25026131075750596
2015-09-01,2015-10-01,0,31,5,0.19852117889519733,0.15769060675858498,0.15925777050397127,0.08340208056583709,0.16253682525911875,0.05244582922366743,0.15373228597011362,0.14336196934447623,0.1573374876710023,0.2622276505917472,0.1686144517005966,0.09173691275858883
2015-10-01,2015-11-01,1,31,5,0.16729641614213797,0.2388174661953984,0.187327991898198,0.07448138237471952,0.17154944570033454,0.10976958307509967,0.15344457555679675,0.06477925119758357,0.16585296932548738,0.10166910340978584,0.1545286013770455,0.14598159050225343
2015-11-01,2015-12-01,5,31,5,0.17398255961741568,0.388035154574641,0.16848458061612379,0.11529091212507826,0.1587459924645469,0.07540679197319355,0.1605729878153976,0.13379788043218319,0.15640573336803693,0.06259649491667987,0.18180814611847912,0.07348284371275907
2015-12-01,2016-01-01,0,30,5,0.1853814253593361,0.4417429137634869,0.1634825585127691,0.10053973704961511,0.1604337477911013,0.10147131810345805,0.1610163956619312,0.0920594800429323,0.16104763282990614,0.08229873795941284,0.1686382398449562,0.03275925936159432
2016-01-01,2016-02-01,0,30,5,0.18217017031545715,0.24495690426125538,0.1560078291802363,0.1867883714136248,0.16774387272818328,0.11668931383355911,0.16218520838392275,0.1319466506827778,0.16651357651852008,0.06791669046263447,0.16537934287368058,0.12897942220072653
2016-02-01,2016-03-01,0,30,5,0.1968749287075742,0.18308559087759446,0.16053071144843703,0.14290038076166728,0.16032786687473255,0.08172794625548391,0.15910029867168293,0.11384846356566736,0.1652801411527066,0.05702324208527676,0.15788605314486676,0.17568241320438557
2016-03-01,2016-04-01,0,30,5,0.207861464382031,0.2067260473502497,0.15132741817997206,0.1003532755982217,0.15438680525365467,0.10913140415351533,0.15430543465102112,0.15217861402111416,0.17252814583152923,0.05977557093995238,0.15959073170179194,0.08002155713130396
2016-04-01,2016-05-01,0,30,5,0.17730164129921955,0.35804692900353285,0.1679328118263744,0.14020111372728072,0.16790425655976063,0.06017921427970111,0.1597751705739706,0.11653547028635178,0.1699749415395197,0.03546032825984391,0.15711117820115522,0.15673441739108296
2016-05-01,2016-06-01,0,30,5,0.20226134943652754,0.2322087386466808,0.14821845628038394,0.2032792134022447,0.1596070554930312,0.05988593748432482,0.17238019352549674,0.09339531703339551,0.15902741026292405,0.10009768936823749,0.15850553500163672,0.0495221175389423
2016-06-01,2016-07-01,0,30,5,0.18561102191118375,0.25863615948164237,0.1612744928627772,0.19707695797889913,0.15463984814225032,0.11204756495995825,0.1645074866646863,0.1380502841533338,0.17132194591902467,0.06883872986013366,0.16264520450007777,0.07953147231130078
2016-07-01,2016-08-01,0,30,5,0.1997443055007978,0.28683496798183805,0.15991867171583882,0.045608348633667195,0.16507068865367414,0.03994886110015956,0.15168978192952515,0.08469069864480176,0.16756865850614525,0.1767815075519043,0.15600789369401893,0.19602983653751288
2016-08-01,2016-09-01,0,30,5,0.19454069223323578,0.29331105955352144,0.15774963564081024,0.09375578291335462,0.16850680504094814,0.07150122748013799,0.14963423656782218,0.20098083559825214,0.1629654451674541,0.0911485013264195,0.16660318534972962,0.03676575998133347
2016-09-01,2016-10-01,0,31,5,0.2051167195083722,0.14156203772377618,0.1589887099288484,0.09886455017305168,0.15572516067916087,0.10795256694203548,0.1562729068543828,0.14964267602302975,0.1639138560177714,0.18758659321544313,0.15998264701146445,0.0771276154086403
2016-10-01,2016-11-01,0,30,5,0.20355009511381572,0.188700779706776,0.15934048669356335,0.037283881374490985,0.15942431084258307,0.10407489844601328,0.15819865176365452,0.09413463212829766,0.16314093235851548,0.18847767797178197,0.15634552322786785,0.08774856810820715
2016-11-01,2016-12-01,0,31,5,0.19464838700240666,0.2729809210976534,0.1625312361592109,0.08928697197364482,0.15933542218550045,0.2063463906074756,0.15798855857209299,0.03845486939246438,0.1688631298755156,0.16394981139313086,0.1566332662052735,0.02918589858282597
2016-12-01,2017-01-01,4,30,5,0.17721924832692054,0.22024747294927405,0.16176397506794343,0.21892076713406888,0.16750702112186047,0.06788924330755974,0.15688097720967908,0.09314498914453324,0.17999700491344664,0.13498640674267104,0.1566317733601496,0.09243655718168195
2017-01-01,2017-02-01,3,30,5,0.160293524927302,0.08543650555828136,0.16168268160609156,0.11609960171449595,0.16447821641666804,0.09681195039717932,0.18542138482529655,0.13534762858913385,0.16158727286225869,0.19782010678869616,0.1665369193623831,0.1660373783799923
2017-02-01,2017-03-01,0,31,5,0.1878171623996263,0.09667774987303757,0.1707480897290943,0.15786514204816696,0.1630444171845106,0.09823736113943986,0.15517429168332317,0.08584764066313269,0.16299668101939327,0.1192026567075204,0.16021935798405249,0.17586418536984016
2017-03-01,2017-04-01,3,31,5,0.15709803897171304,0.1953045593696248,0.16236783399712082,0.09264511134999959,0.16848856642670473,0.12831684129458606,0.18792698910977426,0.15991842065052997,0.15716765193131524,0.10790900997560808,0.16695091956337188,0.12395384707122978
2017-04-01,2017-05-01,4,31,5,0.1713605864254902,0.08367603747914878,0.1554520342343052,0.18187535728395476,0.1504232582843852,0.08070552485401448,0.1781148369224202,0.13314398434486713,0.1887044200854369,0.14704329969284868,0.1559448640479622,0.13157313755307595
2017-05-01,2017-06-01,1,31,5,0.1474278040821591,0.19854503181652988,0.19160103448206342,0.18646632768818946,0.17318257636539047,0.07725632012054062,0.16232718880809355,0.06215312166846833,0.16462846469679004,0.17469251151461382,0.16083293156550343,0.10587841358949454
2017-06-01,2017-07-01,5,30,5,0.15785397363127537,0.11471685429076695,0.16746990991523655,0.12543211964369147,0.16732183253773952,0.19918341652355995,0.1578862534988083,0.06751872676546941,0.15869527997141195,0.14420704567961912,0.19077275044552827,0.1588930312591746
2017-07-01,2017-08-01,2,30,5,0.13957845817118253,0.09662725980811884,0.16472927220851608,0.19164288028228704,0.19142087182176007,0.14623417198231084,0.15944163492341282,0.13699193665218884,0.17412842946457338,0.11105188719044043,0.17070133341055505,0.15060504166144129
2017-08-01,2017-09-01,4,31,5,0.16872513826120053,0.14836777369380716,0.16147580224339866,0.11403336218623786,0.1686161974858652,0.11163825868287114,0.16061042623738125,0.21243164818156413,0.1939710140671748,0.1250384389779756,0.14660142170497953,0.07340251841190679
2017-09-01,2017-10-01,1,31,5,0.16281410067740276,0.11309902700924654,0.19125623236453773,0.152181926538075,0.15706140347618544,0.1833335388241657,0.16153017496841957,0.05754905694235049,0.1558885899998467,0.19277534755671644,0.1714494985136076,0.1332299561171954
2017-10-01,2017-11-01,2,31,5,0.16193143419530234,0.10970120712961216,0.15240439314256007,0.12065140268437499,0.1837053492937155,0.1059091585955156,0.16280542367791423,0.18038865704389628,0.1718928373151136,0.14951914410644873,0.16726056237539438,0.10829138359249874
2017-11-01,2017-12-01,0,31,5,0.19678166098911187,0.29318998788147965,0.16339250218933737,0.08534771662699096,0.15773710151998516,0.07990983439958277,0.168343975957649,0.11471698698193829,0.15618459734174092,0.09595356811641606,0.15756016200217554,0.13467320369385474
2017-12-01,2018-01-01,2,31,5,0.16945124507123618,0.277129192560143,0.1565309715764545,0.1509607765011656,0.19601391875251414,0.08846487265841463,0.1475518797272555,0.08048297457570423,0.17132690872599388,0.10059119076316245,0.15912507614654578,0.12617328926148014
2018-01-01,2018-02-01,5,31,5,0.15135429513027762,0.160629748842391,0.1620009376536873,0.08336356377504481,0.16112816643722278,0.05213745966668894,0.17794954998853718,0.1787308935485296,0.1589414209349614,0.20159852831708358,0.18862562985531373,0.1863467348009271
2018-02-01,2018-03-01,5,30,5,0.17185685887502514,0.17930932070061073,0.1559487017856845,0.08809143086431992,0.15797157395401193,0.13972261017791648,0.16918001180758666,0.13395609104971803,0.16379305955658538,0.09372757112517148,0.18124979402110653,0.14790984348751668
2018-03-01,2018-04-01,0,30,5,0.18302816285765236,0.3310626439981441,0.15541113416940017,0.07733704893286553,0.16402231729088615,0.1267538148998245,0.15909982850996013,0.14399306565150205,0.15945264677657414,0.0911883506813637,0.17898591039552708,0.050728871558733284
2018-04-01,2018-05-01,0,30,5,0.2062744970004206,0.09446134718272231,0.15495000667471215,0.12345476197934133,0.16620455946462226,0.04221068613102899,0.16059976713427518,0.2212890329633165,0.15179089167314247,0.014991693004754812,0.16018027805282756,0.20069864812186589
2018-05-01,2018-06-01,0,30,5,0.1821189884859268,0.08767591682435892,0.16009492047112836,0.15798919388801763,0.16812736538542908,0.2395314175933591,0.15894119396337106,0.11898321556994616,0.1679368639480754,0.1082758082421585,0.16278066774606928,0.06605440085023771
